setting,country,country_abbr,author,year,study_type,study_start,study_end,seasonality,intensity,annual_eir,monthly_eir,ipti_touchpoints_mth,ipti_drug,nchildren,itn_cov,itn_level,cm_level,outcome,pyar_placebo_gosling2009,mean_episodes_ppa_placebo,estimated_initial_pfpr,study_PE_mean,study_PE_lo,study_PE_up,gosling_2008_PE,gosling_2009_PE
Ifakara,Tanzania,TZA,Schellenberg,2001,trial,1999,2000,perennial,moderate,29,,"2,3,9",SP,701,67,high,,clinical_malaria,0.43,0.54,4.5,58.8,40.8,71.3,23,62.3
Navrongo,Ghana,GHA,Chandramohan,2005,trial,2000,2002,highly_seasonal,high,418,,"3,4,9,12",SP,2485,18,low,,clinical_malaria,1,1,8.3,29.3,17.7,39.4,31.9,24.9
Manhica,Mozambique,MOZ,Macete,2006,trial,2002,2004,perennial_seasonal,moderate,38,,"3,4,9",SP,1503,0,none,,clinical_malaria,0.55,0.71,5.9,20.1,2.1,34.9,32,22.6
Lambarene,Gabon,GAB,Grobush,2007,trial,2004,2005,perennial_seasonal,low_moderate,50,,"3,9,15",SP,1189,5,none,,clinical_malaria,0.16,0.16,1.3,22,-25.4,51.5,23.7,17
Tamale,Ghana,GHA,Mockenhaupt,2007,trial,2003,2003,perennial_seasonal,high,,,"3,9,15",SP,1200,1,none,,clinical_malaria,1.16,0.93,7.8,33.3,20.7,43.8,24.9,22.5
Kumasi,Ghana,GHA,Kobbe,2007,trial,2003,2005,perennial,high,400,,"3,9,15",SP,1070,20,low,,clinical_malaria,1.2,1.27,10.6,20.9,8.9,31.3,25.9,20.3
Korogwe,Tanzania,TZA,Gosling,2009,trial,2004,2008,,,,,,MQ,,,,,clinical_malaria,0.31,,,,,,,-6.7
Korogwe,Tanzania,TZA,Gosling,2009,trial,2004,2008,,,,,,SP,,,,,clinical_malaria,0.31,,,,,,,38.1
Same,Tanzania,TZA,Gosling,2009,trial,2004,2008,,,,,,SP,,,,,clinical_malaria,0.018,,,,,,,-77.2
Same,Tanzania,TZA,Gosling,2009,trial,2004,2008,,,,,,MQ,,,,,clinical_malaria,0.018,,,,,,,50.2
Kambia,Sierra Leone,SLE,Lahuerta,2020,pilot,2018,2019,,,,,,SP,,,,,clinical_malaria,,,,,,,,
pooled,pooled,AFR,Aponte,2009,trial,2009,2009,,,,,,total,,,,,clinical_malaria,,,,30.3,19.8,39.4,,
