bar,time_in,time_out,year,mean,low,up
1,0,2,0,0.461,0.210,0.624
2,3,5,0.3,0.735,0.591,0.820
3,6,8,0.5,0.388,0.199,0.520
4,9,11,0.8,0.239,0.024,0.397
5,12,14,1,0.401,0.202,0.549
6,15,17,1.2,0.309,0.075,0.473
7,18,20,1.5,0.304,0.065,0.470
8,21,23,1.7,0.498,0.333,0.612
9,24,26,2,0.419,0.216,0.556
10,27,29,2.2,0.254,-0.027,0.463
11,30,32,2.5,0.389,0.163,0.542
12,33,35,2.7,0.162,-0.233,0.426
13,36,38,3,0.073,-0.326,0.345
14,39,41,3.2,0.097,-0.288,0.364
15,42,44,3.5,0.104,-0.277,0.370
16,45,47,3.7,0.084,-0.211,0.317
17,48,50,4,0.202,-0.206,0.451
18,51,53,4.2,-0.143,-0.676,0.386
