ADM1_NAME,RDT_2018,microscopy_2018,State
Abia,0.207,0.135,Abia
Akwa lbom,0.332,0.232,Akwa Ibom
Anambra,0.152,0.088,Anambra
Bayelsa,0.301,0.125,Bayelsa
Benue,0.26,0.127,Benue
Cross River,0.264,0.195,Cross River
Delta,0.249,0.17,Delta
Ebonyi,0.493,0.305,Ebonyi
Edo,0.191,0.147,Edo
Ekiti,0.463,0.323,Ekiti
Enugu,0.302,0.174,Enugu
Imo,0.156,0.078,Imo
Kogi,0.46,0.254,Kogi
Lagos,0.034,0.018,Lagos
Ogun,0.322,0.216,Ogun
Ondo,0.416,0.335,Ondo
Osun,0.549,0.277,Osun
Oyo,0.339,0.238,Oyo
Rivers,0.223,0.112,Rivers
Taraba,0.352,0.208,Taraba
