month,Abia,Akwa Ibom,Anambra,Bayelsa,Benue,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Imo,Kogi,Lagos,Ogun,Ondo,Osun,Oyo,Rivers,Taraba
1,0.0796713506243123,0.0720837697992184,0.0720786591666878,0.0779160144684258,0.0602683386281754,0.0795113673447572,0.0727589467382515,0.0669698474891567,0.0653595690683618,0.0598743345365856,0.0707747591386955,0.0802180984184304,0.05910541097814,0.0748776845282748,0.0636996566200315,0.0634196786964092,0.0601308054485026,0.0589119459459346,0.0719553257231008,0.0679493194369007
2,0.0558039777248816,0.0696056432315388,0.0733610886743758,0.069277358480182,0.0496730369700081,0.0623355432198181,0.0689032640704192,0.0546520732771073,0.0521767620405691,0.0466866633953185,0.0622459352081951,0.0619147529334979,0.0480941791523296,0.0721344710127138,0.0549039488439829,0.051086806560509,0.0507478723560328,0.0514846638760925,0.06960575504924,0.075009460420762
3,0.0671322969036436,0.0818721032047523,0.0974958545975308,0.101687567636138,0.0763829640047743,0.0843595680729614,0.0825929888396158,0.0795006382506342,0.0731793231733944,0.0612752442975291,0.0894219461544904,0.0767593893797375,0.0693648255226337,0.0833604741763682,0.078048863777403,0.0676845867408814,0.0685580730885552,0.0741430053516208,0.0907741334570544,0.0990553013117569
4,0.0640491005657487,0.0766594551735315,0.10380309019691,0.0938204987060566,0.0835762148221557,0.0870500537443598,0.0859460431731867,0.0919787130571943,0.0854136302401172,0.0700653985551469,0.097356655112118,0.0737351657252098,0.0851733411434966,0.0869230468472368,0.084048929931234,0.0739568996514969,0.0700912241153343,0.0759377760486722,0.0843885924450185,0.111031689501567
5,0.06893367177203,0.0926706475309375,0.0985184511039253,0.0730651248687026,0.0738308408808811,0.0878984148610663,0.0915782985892082,0.0860347695322071,0.0924800468522244,0.0778339317744571,0.097360122087141,0.0756900228014385,0.095953535155013,0.090210642531609,0.0821490878879083,0.0745242446170586,0.0616448304239603,0.0685958780785953,0.0871233286216911,0.102470233527588
6,0.0563174035588251,0.0945614092362157,0.0870256877855646,0.0569131807743986,0.0570868153719977,0.0748752463088083,0.0852811862834695,0.0750337344090401,0.078090904249184,0.0691833022698349,0.0802275411064475,0.0580989126535249,0.0820325681150058,0.0820305495614197,0.0727708621031041,0.0634534471164896,0.0486043493693961,0.0559226612045604,0.083699320730664,0.0861065547745635
7,0.0438387538475722,0.074720428315857,0.0732708568314277,0.0589990283813181,0.0700154197495288,0.0575827068820619,0.0760391419965249,0.0653996492954728,0.0727264698439826,0.084361215125521,0.0714510781056396,0.0464703852323267,0.0759508493921856,0.0770186751410344,0.0770488386213211,0.0740165506445846,0.0687012783010448,0.0710224886297433,0.0721268608039701,0.0738892785190692
8,0.0483064201763842,0.0725954236278624,0.0792227039993665,0.065466706458422,0.10321491109573,0.059130236445914,0.0880761291564464,0.0923532597518977,0.0982782661403351,0.0915681696167712,0.0828949840732122,0.050151337102953,0.0957465414018013,0.0856542595574944,0.0982698394893235,0.104011294045919,0.113378944733606,0.106141655391588,0.0726858901820776,0.0836311607605152
9,0.0854449573607468,0.0819122357316692,0.0841511789805221,0.0730312644909754,0.115313557265594,0.0768096891435602,0.0962713791325719,0.0992771657466895,0.102847500479631,0.137833184020258,0.0918487543427503,0.0821308393480107,0.112346064751268,0.0986581792615426,0.117085650915769,0.11672328994645,0.112445836094171,0.117559668888868,0.0793757707409158,0.0880999161086466
10,0.141777579633061,0.100064886594548,0.0836534241800053,0.145436036721661,0.147021905862952,0.106976083937432,0.09453244438104,0.103126467376161,0.108054250844068,0.11965522202681,0.0907498756520096,0.128195400857929,0.106200606380142,0.0912319564786605,0.109093515963415,0.132629945058395,0.169566490165249,0.152820640731393,0.116279409569186,0.0796337832138773
11,0.160078158338673,0.0987901144658469,0.0733403042269296,0.0928501577204496,0.0913515587952255,0.115186902533337,0.0814191883624521,0.0958389979485326,0.0888724185445459,0.100811046475831,0.0834280830350066,0.145827216581628,0.0898082550789729,0.079547645419694,0.0858965074192485,0.0970753035022121,0.0995258176012049,0.0940857636895454,0.0908526535904167,0.0685476086219214
12,0.128646329494122,0.0844638830880223,0.0740787002567548,0.0915370612932701,0.0722644365529783,0.108284187505925,0.0766009892768138,0.0898346838659063,0.082520858523587,0.080852287905936,0.0822402659842942,0.120808478965314,0.0802238229290112,0.0783524154839518,0.0769842984272587,0.0814179534195942,0.076604478302943,0.0733738521633864,0.0811329590866651,0.0645756938028328
