month,constant,season1,season2,season3
1,0.0833333333333333,0.0846055530964382,0.0834765311345525,0.0986221717303165
2,0.0833333333333333,0.074503289622828,0.0864924113911055,0.0611380669465262
3,0.0833333333333333,0.0911218315153001,0.0949302052545587,0.070187344561471
4,0.0833333333333333,0.0930919106542439,0.0914300189374865,0.0652499309316381
5,0.0833333333333333,0.0918686379584966,0.103181409741519,0.0659614882748449
6,0.0833333333333333,0.0805597011256407,0.106303243531179,0.0516703619218998
7,0.0833333333333333,0.0700918285416392,0.0871494562449138,0.0474266381062748
8,0.0833333333333333,0.0807745027409285,0.0843599287825754,0.0529179439228209
9,0.0833333333333333,0.0913209597935528,0.080971274162469,0.0935343763169011
10,0.0833333333333333,0.086350702768178,0.0680816553232296,0.126994244235984
11,0.0833333333333333,0.0782486945563237,0.05853638495371,0.142468715331554
12,0.0833333333333333,0.0774623876264303,0.0550874805427005,0.123828717719769
